none[0.2643]  arg1_node[0.7347]  arg2_node[0.0009]  arg1_node
none[0.9974]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9974]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9974]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.5926]  arg1_node[0.0576]  arg2_node[0.3499]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9833]  arg1_node[0.0160]  arg2_node[0.0008]  none
none[0.9104]  arg1_node[0.0000]  arg2_node[0.0896]  none
none[0.9945]  arg1_node[0.0000]  arg2_node[0.0055]  none
none[0.9457]  arg1_node[0.0471]  arg2_node[0.0072]  none
none[0.9945]  arg1_node[0.0000]  arg2_node[0.0054]  none
none[0.9945]  arg1_node[0.0000]  arg2_node[0.0054]  none
none[0.9945]  arg1_node[0.0000]  arg2_node[0.0054]  none
none[0.9946]  arg1_node[0.0000]  arg2_node[0.0053]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.6374]  arg1_node[0.0835]  arg2_node[0.2791]  none
none[0.9944]  arg1_node[0.0000]  arg2_node[0.0056]  none
none[0.9944]  arg1_node[0.0000]  arg2_node[0.0056]  none
none[0.9659]  arg1_node[0.0144]  arg2_node[0.0197]  none
none[0.9944]  arg1_node[0.0000]  arg2_node[0.0056]  none
none[0.9944]  arg1_node[0.0000]  arg2_node[0.0056]  none
none[0.9944]  arg1_node[0.0000]  arg2_node[0.0056]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.9924]  arg1_node[0.0000]  arg2_node[0.0076]  none
none[0.0642]  arg1_node[0.9277]  arg2_node[0.0081]  arg1_node
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9977]  arg1_node[0.0014]  arg2_node[0.0009]  none
none[0.9977]  arg1_node[0.0014]  arg2_node[0.0009]  none
none[0.7690]  arg1_node[0.0103]  arg2_node[0.2207]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9967]  arg1_node[0.0004]  arg2_node[0.0029]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9967]  arg1_node[0.0010]  arg2_node[0.0023]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.4473]  arg1_node[0.0003]  arg2_node[0.5524]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9877]  arg1_node[0.0000]  arg2_node[0.0122]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9900]  arg1_node[0.0000]  arg2_node[0.0099]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9960]  arg1_node[0.0001]  arg2_node[0.0040]  none
none[0.9960]  arg1_node[0.0001]  arg2_node[0.0040]  none
none[0.9960]  arg1_node[0.0001]  arg2_node[0.0040]  none
none[0.9960]  arg1_node[0.0001]  arg2_node[0.0040]  none
none[0.9960]  arg1_node[0.0001]  arg2_node[0.0040]  none
none[0.9614]  arg1_node[0.0376]  arg2_node[0.0010]  none
none[0.9898]  arg1_node[0.0100]  arg2_node[0.0003]  none
none[0.0923]  arg1_node[0.8927]  arg2_node[0.0150]  arg1_node
none[0.7255]  arg1_node[0.0065]  arg2_node[0.2680]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9960]  arg1_node[0.0003]  arg2_node[0.0037]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.9988]  arg1_node[0.0005]  arg2_node[0.0007]  none
none[0.3862]  arg1_node[0.0002]  arg2_node[0.6137]  arg2_node
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0029]  none
none[0.9843]  arg1_node[0.0000]  arg2_node[0.0157]  none
